date,rev_forecast,upper_estimate,lower_estimate
2014-05-01,2430695.9726840365,2517884.1364304516,2344615.1377178496
2014-06-01,2315795.4456847226,2401827.9924675133,2231973.309596771
2014-07-01,2424465.0680091493,2515504.4954238916,2340386.2479287097
2014-08-01,2388302.8337433,2477902.3303479142,2300773.2266863137
2014-09-01,2271901.960484185,2359565.334084616,2179810.2198781506
2014-10-01,2344286.0260732146,2433261.0747054317,2254605.9478576034
2014-11-01,2240937.575117296,2330551.201578433,2154874.7865750957
2014-12-01,2277903.3535102876,2373305.263432139,2184162.2121066493
2015-01-01,2196903.6845549396,2282402.5862535834,2110021.3477451135
2015-02-01,2214372.8787581325,2302589.976664521,2124038.7604812896
2015-03-01,2408614.28288267,2494896.798352099,2314585.614961067
2015-04-01,2303972.1564760325,2397110.114259441,2217112.249213533
2015-05-01,2339679.01756314,2432733.325773921,2247499.352927079
2015-06-01,2204823.3649197123,2292707.956714089,2123510.2778644916
2015-07-01,2323577.0701036314,2411749.6404988733,2239097.9837802486
2015-08-01,2273334.4220479727,2363003.3938257056,2188331.431753172
2015-09-01,2182404.9482238255,2269294.6943515204,2094596.3364246606
2015-10-01,2272126.374285021,2359681.5794102247,2185440.759412824
2015-11-01,2139788.3410552116,2230610.8905809834,2052858.2760277027
2015-12-01,2163980.636894989,2251532.151977373,2074122.9976425495
2016-01-01,2089424.4947837708,2179476.2858953155,2004109.7013827316
2016-02-01,2140794.4912850237,2227004.6113697547,2050912.2984652785
2016-03-01,2337286.953612953,2421112.838006503,2241388.3036908964
2016-04-01,2186415.437744806,2274643.568295071,2102267.2084287787
2016-05-01,2206630.636093177,2290498.8899295535,2113332.7982373354
2016-06-01,2146720.7664381084,2234715.50068018,2061247.8052481997
2016-07-01,2216451.6245750505,2307733.514282794,2129719.0982921547
2016-08-01,2210536.320877927,2301896.858403627,2118654.6221500444
2016-09-01,2062807.399145606,2148654.6282323413,1977601.9995958912
2016-10-01,2084382.6933301822,2174234.799816454,1995059.3975586675
2016-11-01,2049306.515853192,2136571.7696426045,1966939.8983230905
2016-12-01,2102547.1327441023,2188807.9225491276,2014111.9529942162
2017-01-01,2022028.1655866245,2113199.3250934468,1930832.2083233756
2017-02-01,1968193.724844599,2051095.9448392172,1880367.256910336
2017-03-01,2202939.3079855507,2287294.798922806,2110250.5717185726
2017-04-01,2073336.4815581066,2161305.577034569,1984019.4698796207
2017-05-01,2095512.314802697,2185872.0046685124,2004591.7753282627
2017-06-01,2015233.030292913,2101223.5885281013,1927408.7857281854
2017-07-01,2092869.9100594262,2181481.9550475758,2007975.0349016471
2017-08-01,2072521.1923057253,2158175.2615288068,1985658.0529051959
2017-09-01,1950714.5329487605,2035892.9421014118,1857018.3416580283
2017-10-01,1990678.0266415451,2083075.8913417964,1895780.7365698
2017-11-01,1928160.6546391544,2019103.3901601087,1839056.6186682181
2017-12-01,1967159.420116622,2055788.2581775596,1878940.6285891084
2018-01-01,1892436.6993761586,1981792.2855649728,1797989.8627179374
2018-02-01,1872895.0477270777,1965030.2148523568,1781662.5804352798
2018-03-01,2064886.8244240356,2149756.2815817776,1975207.9945282233
2018-04-01,1957205.1522357243,2044426.3396166202,1868462.3234756656
2018-05-01,1981217.689303066,2068592.2613722752,1888173.920220296
2018-06-01,1884209.5516823865,1972080.9707677865,1792160.2233164832
2018-07-01,1969204.1621928571,2051598.580255064,1880780.3365200781
2018-07-31,1889063.7286085857,1982100.549586652,1793427.0142306595
2018-08-31,1863669.8460112151,1949697.96041093,1773705.4927964369
2018-09-30,1984229.8438194296,2070514.0146049461,1892412.588129836
2018-10-31,1784170.2708631943,1873794.182796664,1693056.8404503076
2018-11-30,1776966.5883330263,1866122.0036104717,1687220.4185333143
2018-12-31,1723108.7350487595,1817010.2257582778,1629157.2026767924
2019-01-31,1849369.120081246,1951781.3986380957,1757381.413162618
2019-02-28,1889695.0803090024,1986057.6152836655,1799557.7007964368
2019-03-31,1862201.205120119,1965604.5337688331,1761683.5489415633
2019-04-30,1895532.988208968,1996474.4238203785,1789783.6130370046
2019-05-31,1708321.0465568367,1810174.7312668108,1596057.2311398392
2019-06-30,1848336.550661463,1960960.4793368233,1729731.671081431
2019-07-31,1758620.4066395366,1876775.1314954835,1647784.476284883
2019-08-31,1751673.7801697513,1872956.070651162,1621338.2063620458
2019-09-30,1877316.828496901,2013914.6074635088,1741134.4271453326
2019-10-31,1662392.3107162674,1795771.9987154077,1526325.0195524108
2019-11-30,1648318.9740163623,1792330.502024942,1491315.1412596176
2019-12-31,1602072.1517693703,1756713.2916002097,1447169.3113534865
